trial_index,orientation_deg,contrast_pct,response,trial_role
0,0.0,25.0,4.0249,fit
1,135.0,50.0,7.0214,fit
2,90.0,100.0,15.3345,fit
3,45.0,12.5,3.8372,fit
4,90.0,25.0,9.9707,fit
5,0.0,25.0,7.3377,fit
6,135.0,12.5,4.2282,fit
7,45.0,12.5,4.873,fit
8,45.0,50.0,6.8381,fit
9,135.0,50.0,9.1454,fit
10,0.0,12.5,5.3548,fit
11,90.0,12.5,7.2735,fit
12,135.0,100.0,10.5787,fit
13,45.0,12.5,5.5449,fit
14,90.0,25.0,12.0197,fit
15,0.0,12.5,5.4287,fit
16,45.0,12.5,6.1249,fit
17,135.0,50.0,9.1571,fit
18,0.0,25.0,5.3877,fit
19,90.0,12.5,9.9072,fit
20,0.0,25.0,5.0269,fit
21,90.0,25.0,10.1454,fit
22,45.0,25.0,7.4913,fit
23,135.0,25.0,7.93,fit
24,90.0,12.5,7.3025,fit
25,45.0,12.5,5.4102,fit
26,0.0,100.0,10.942,fit
27,135.0,12.5,4.6169,fit
28,90.0,50.0,13.9299,fit
29,45.0,25.0,7.6437,fit
30,0.0,50.0,9.8783,fit
31,135.0,25.0,8.7579,fit
32,135.0,12.5,6.5544,fit
33,0.0,12.5,1.7855,fit
34,90.0,25.0,10.0156,fit
35,45.0,12.5,6.1311,fit
36,45.0,50.0,12.6875,fit
37,90.0,12.5,11.3557,fit
38,135.0,25.0,10.1158,fit
39,0.0,25.0,7.3195,fit
40,135.0,12.5,3.3212,fit
41,0.0,100.0,12.0214,fit
42,90.0,50.0,11.746,fit
43,45.0,100.0,10.5348,fit
44,135.0,12.5,7.004,fit
45,0.0,100.0,13.1612,fit
46,90.0,25.0,9.2724,fit
47,45.0,12.5,5.9724,fit
48,45.0,50.0,9.4838,fit
49,135.0,100.0,7.4224,fit
50,90.0,50.0,12.4504,fit
51,0.0,25.0,4.2265,fit
52,135.0,12.5,5.0897,fit
53,45.0,12.5,6.7063,fit
54,90.0,100.0,16.6249,fit
55,0.0,25.0,7.1303,fit
56,45.0,25.0,7.9008,fit
57,90.0,25.0,10.3619,fit
58,0.0,12.5,6.2168,fit
59,135.0,100.0,6.0477,fit
60,45.0,12.5,6.7235,fit
61,0.0,12.5,5.4342,fit
62,90.0,25.0,8.705,fit
63,135.0,12.5,6.6291,fit
64,0.0,12.5,6.0107,fit
65,135.0,25.0,4.7641,fit
66,90.0,50.0,12.0947,fit
67,45.0,25.0,7.6173,fit
68,45.0,50.0,9.7055,fit
69,90.0,25.0,7.135,fit
70,135.0,25.0,6.5624,fit
71,0.0,25.0,7.0232,fit
72,135.0,12.5,4.3454,fit
73,90.0,12.5,8.4027,fit
74,45.0,50.0,10.032,fit
75,0.0,25.0,6.1895,fit
76,45.0,50.0,8.0206,fit
77,135.0,12.5,5.7193,fit
78,0.0,12.5,6.1356,fit
79,90.0,50.0,14.1398,fit
80,45.0,50.0,11.7828,fit
81,135.0,12.5,3.7451,fit
82,90.0,12.5,9.235,fit
83,0.0,12.5,2.8651,fit
84,90.0,12.5,8.3893,fit
85,0.0,25.0,8.9407,fit
86,135.0,12.5,4.171,fit
87,45.0,50.0,8.919,fit
88,0.0,12.5,3.6315,fit
89,90.0,25.0,8.812,fit
90,45.0,50.0,11.4975,fit
91,135.0,50.0,6.0741,fit
92,45.0,25.0,8.0027,fit
93,0.0,12.5,6.6589,fit
94,90.0,12.5,7.6808,fit
95,135.0,12.5,8.0875,fit
96,0.0,50.0,11.6601,fit
97,135.0,25.0,7.1496,fit
98,90.0,25.0,12.2308,fit
99,45.0,25.0,11.0391,fit
100,0.0,12.5,8.1607,fit
101,135.0,25.0,7.8002,fit
102,90.0,50.0,12.8409,fit
103,45.0,12.5,7.2566,fit
104,135.0,100.0,11.3191,fit
105,45.0,12.5,5.9606,fit
106,0.0,12.5,4.7591,fit
107,90.0,12.5,9.2019,fit
108,0.0,25.0,10.3275,fit
109,45.0,25.0,8.9516,fit
110,90.0,12.5,7.6699,fit
111,135.0,12.5,7.6818,fit
112,0.0,12.5,5.1881,fit
113,45.0,50.0,11.9051,fit
114,135.0,12.5,5.0682,fit
115,90.0,12.5,9.7023,fit
116,90.0,50.0,12.5239,fit
117,135.0,25.0,8.2595,fit
118,0.0,100.0,9.7693,fit
119,45.0,25.0,9.8181,fit
120,0.0,50.0,11.3369,fit
121,90.0,50.0,12.4519,fit
122,135.0,12.5,5.4423,fit
123,45.0,12.5,8.8953,fit
124,90.0,25.0,6.48,fit
125,45.0,12.5,10.4176,fit
126,135.0,25.0,9.2424,fit
127,0.0,100.0,12.122,fit
128,90.0,100.0,14.7704,fit
129,135.0,12.5,7.8832,fit
130,45.0,12.5,6.9703,fit
131,0.0,50.0,9.3836,fit
132,45.0,25.0,9.7179,fit
133,135.0,50.0,10.0689,fit
134,90.0,25.0,11.0088,fit
135,0.0,50.0,8.3632,fit
136,0.0,12.5,4.3746,fit
137,135.0,25.0,5.2491,fit
138,45.0,25.0,7.6839,fit
139,90.0,12.5,8.4022,fit
140,45.0,25.0,9.0986,fit
141,0.0,25.0,8.1102,fit
142,90.0,50.0,13.806,fit
143,135.0,50.0,9.0167,fit
144,135.0,12.5,7.6459,fit
145,0.0,25.0,9.3709,fit
146,45.0,12.5,7.9051,fit
147,90.0,12.5,6.7099,fit
148,90.0,25.0,11.8651,fit
149,0.0,25.0,4.0506,fit
150,135.0,12.5,5.4665,fit
151,45.0,100.0,13.493,fit
152,0.0,12.5,5.5148,fit
153,90.0,25.0,10.9848,fit
154,135.0,12.5,4.948,fit
155,45.0,50.0,11.0056,fit
156,45.0,12.5,8.0374,fit
157,0.0,12.5,6.2999,fit
158,90.0,25.0,11.5959,fit
159,135.0,12.5,5.8253,fit
160,0.0,50.0,8.665,fit
161,90.0,50.0,13.9981,fit
162,45.0,25.0,8.4331,fit
163,135.0,25.0,8.6976,fit
164,0.0,25.0,5.8566,fit
165,45.0,12.5,7.1241,fit
166,90.0,100.0,14.1267,fit
167,135.0,25.0,10.2438,fit
168,0.0,12.5,5.8526,fit
169,135.0,100.0,12.5899,fit
170,45.0,50.0,11.2268,fit
171,90.0,100.0,15.4845,fit
172,45.0,12.5,8.8447,fit
173,90.0,50.0,14.6561,fit
174,0.0,12.5,5.5875,fit
175,135.0,50.0,7.2309,fit
176,45.0,25.0,12.0111,fit
177,0.0,50.0,11.0158,fit
178,135.0,12.5,7.3923,fit
179,90.0,12.5,11.8584,fit
180,0.0,50.0,9.6473,fit
181,45.0,100.0,9.5083,fit
182,135.0,25.0,7.2454,fit
183,90.0,25.0,10.1371,fit
184,90.0,25.0,12.2449,fit
185,45.0,50.0,12.074,fit
186,135.0,100.0,10.8978,fit
187,0.0,25.0,9.2038,fit
188,0.0,50.0,10.349,fit
189,45.0,50.0,12.8565,fit
190,135.0,12.5,6.0055,fit
191,90.0,50.0,12.6701,fit
192,135.0,25.0,9.1583,fit
193,0.0,25.0,8.0877,fit
194,45.0,50.0,9.7519,fit
195,90.0,50.0,11.0894,fit
196,135.0,100.0,12.0714,fit
197,0.0,25.0,9.4031,fit
198,90.0,50.0,14.1432,fit
199,45.0,100.0,13.866,fit
200,90.0,12.5,8.5685,fit
201,0.0,25.0,8.6781,fit
202,135.0,100.0,10.975,fit
203,45.0,25.0,11.5364,fit
204,90.0,25.0,9.1277,fit
205,135.0,50.0,9.5495,fit
206,0.0,25.0,8.2951,fit
207,45.0,12.5,9.0588,fit
208,90.0,50.0,11.5498,fit
209,135.0,25.0,8.8267,fit
210,45.0,12.5,2.955,fit
211,0.0,50.0,10.2264,fit
212,135.0,100.0,11.7664,fit
213,90.0,25.0,11.6713,fit
214,45.0,12.5,8.2737,fit
215,0.0,100.0,10.6591,fit
216,45.0,25.0,9.0884,fit
217,135.0,50.0,8.0679,fit
218,90.0,50.0,11.7087,fit
219,0.0,50.0,10.6035,fit
220,90.0,50.0,11.7049,fit
221,45.0,25.0,7.3976,fit
222,135.0,25.0,6.1095,fit
223,0.0,25.0,9.1636,fit
224,0.0,12.5,4.1786,fit
225,45.0,12.5,5.6162,fit
226,90.0,12.5,9.7785,fit
227,135.0,25.0,8.596,fit
228,45.0,12.5,10.8836,fit
229,0.0,25.0,4.6758,fit
230,135.0,25.0,7.0246,fit
231,90.0,50.0,13.8707,fit
232,90.0,25.0,10.6741,fit
233,135.0,50.0,8.3077,fit
234,45.0,25.0,10.4682,fit
