trial_id,condition_pct,condition_role,trial_duration_ms
0,6.0,fit,800.0
1,6.0,fit,800.0
2,6.0,fit,800.0
3,6.0,fit,800.0
4,6.0,fit,800.0
5,6.0,fit,800.0
6,6.0,fit,800.0
7,6.0,fit,800.0
8,6.0,fit,800.0
9,6.0,fit,800.0
10,6.0,fit,800.0
11,6.0,fit,800.0
12,6.0,fit,800.0
13,6.0,fit,800.0
14,6.0,fit,800.0
15,6.0,fit,800.0
16,6.0,fit,800.0
17,6.0,fit,800.0
18,6.0,fit,800.0
19,6.0,fit,800.0
20,6.0,fit,800.0
21,6.0,fit,800.0
22,6.0,fit,800.0
23,6.0,fit,800.0
24,6.0,fit,800.0
25,6.0,fit,800.0
26,6.0,fit,800.0
27,6.0,fit,800.0
28,6.0,fit,800.0
29,6.0,fit,800.0
30,6.0,fit,800.0
31,6.0,fit,800.0
32,6.0,fit,800.0
33,6.0,fit,800.0
34,6.0,fit,800.0
35,6.0,fit,800.0
36,6.0,fit,800.0
37,6.0,fit,800.0
38,6.0,fit,800.0
39,6.0,fit,800.0
40,6.0,fit,800.0
41,6.0,fit,800.0
42,6.0,fit,800.0
43,6.0,fit,800.0
44,6.0,fit,800.0
45,6.0,fit,800.0
46,6.0,fit,800.0
47,6.0,fit,800.0
48,6.0,fit,800.0
49,6.0,fit,800.0
50,6.0,fit,800.0
51,6.0,fit,800.0
52,6.0,fit,800.0
53,6.0,fit,800.0
54,6.0,fit,800.0
55,6.0,fit,800.0
56,6.0,fit,800.0
57,6.0,fit,800.0
58,6.0,fit,800.0
59,6.0,fit,800.0
60,6.0,fit,800.0
61,6.0,fit,800.0
62,6.0,fit,800.0
63,6.0,fit,800.0
64,6.0,fit,800.0
65,6.0,fit,800.0
66,6.0,fit,800.0
67,6.0,fit,800.0
68,6.0,fit,800.0
69,6.0,fit,800.0
70,6.0,fit,800.0
71,6.0,fit,800.0
72,6.0,fit,800.0
73,6.0,fit,800.0
74,6.0,fit,800.0
75,6.0,fit,800.0
76,6.0,fit,800.0
77,6.0,fit,800.0
78,6.0,fit,800.0
79,6.0,fit,800.0
80,6.0,fit,800.0
81,6.0,fit,800.0
82,6.0,fit,800.0
83,6.0,fit,800.0
84,6.0,fit,800.0
85,6.0,fit,800.0
86,6.0,fit,800.0
87,6.0,fit,800.0
88,6.0,fit,800.0
89,6.0,fit,800.0
90,6.0,fit,800.0
91,6.0,fit,800.0
92,6.0,fit,800.0
93,6.0,fit,800.0
94,6.0,fit,800.0
95,6.0,fit,800.0
96,6.0,fit,800.0
97,6.0,fit,800.0
98,6.0,fit,800.0
99,6.0,fit,800.0
100,6.0,fit,800.0
101,6.0,fit,800.0
102,6.0,fit,800.0
103,6.0,fit,800.0
104,6.0,fit,800.0
105,6.0,fit,800.0
106,6.0,fit,800.0
107,6.0,fit,800.0
108,6.0,fit,800.0
109,6.0,fit,800.0
110,6.0,fit,800.0
111,6.0,fit,800.0
112,6.0,fit,800.0
113,6.0,fit,800.0
114,6.0,fit,800.0
115,6.0,fit,800.0
116,6.0,fit,800.0
117,6.0,fit,800.0
118,6.0,fit,800.0
119,6.0,fit,800.0
120,6.0,fit,800.0
121,6.0,fit,800.0
122,6.0,fit,800.0
123,6.0,fit,800.0
124,6.0,fit,800.0
125,6.0,fit,800.0
126,6.0,fit,800.0
127,6.0,fit,800.0
128,6.0,fit,800.0
129,6.0,fit,800.0
130,6.0,fit,800.0
131,6.0,fit,800.0
132,6.0,fit,800.0
133,6.0,fit,800.0
134,6.0,fit,800.0
135,6.0,fit,800.0
136,6.0,fit,800.0
137,6.0,fit,800.0
138,6.0,fit,800.0
139,6.0,fit,800.0
140,6.0,fit,800.0
141,6.0,fit,800.0
142,6.0,fit,800.0
143,6.0,fit,800.0
144,6.0,fit,800.0
145,6.0,fit,800.0
146,6.0,fit,800.0
147,6.0,fit,800.0
148,6.0,fit,800.0
149,6.0,fit,800.0
150,6.0,fit,800.0
151,6.0,fit,800.0
152,6.0,fit,800.0
153,6.0,fit,800.0
154,6.0,fit,800.0
155,6.0,fit,800.0
156,6.0,fit,800.0
157,6.0,fit,800.0
158,6.0,fit,800.0
159,6.0,fit,800.0
160,6.0,fit,800.0
161,6.0,fit,800.0
162,6.0,fit,800.0
163,6.0,fit,800.0
164,6.0,fit,800.0
165,6.0,fit,800.0
166,6.0,fit,800.0
167,6.0,fit,800.0
168,6.0,fit,800.0
169,6.0,fit,800.0
170,6.0,fit,800.0
171,6.0,fit,800.0
172,6.0,fit,800.0
173,6.0,fit,800.0
174,6.0,fit,800.0
175,6.0,fit,800.0
176,6.0,fit,800.0
177,6.0,fit,800.0
178,6.0,fit,800.0
179,6.0,fit,800.0
180,6.0,fit,800.0
181,6.0,fit,800.0
182,6.0,fit,800.0
183,6.0,fit,800.0
184,6.0,fit,800.0
185,6.0,fit,800.0
186,6.0,fit,800.0
187,6.0,fit,800.0
188,6.0,fit,800.0
189,6.0,fit,800.0
190,6.0,fit,800.0
191,6.0,fit,800.0
192,6.0,fit,800.0
193,6.0,fit,800.0
194,6.0,fit,800.0
195,6.0,fit,800.0
196,6.0,fit,800.0
197,6.0,fit,800.0
198,6.0,fit,800.0
199,6.0,fit,800.0
200,6.0,fit,800.0
201,6.0,fit,800.0
202,6.0,fit,800.0
203,6.0,fit,800.0
204,6.0,fit,800.0
205,6.0,fit,800.0
206,6.0,fit,800.0
207,6.0,fit,800.0
208,6.0,fit,800.0
209,6.0,fit,800.0
210,6.0,fit,800.0
211,6.0,fit,800.0
212,6.0,fit,800.0
213,6.0,fit,800.0
214,6.0,fit,800.0
215,6.0,fit,800.0
216,6.0,fit,800.0
217,6.0,fit,800.0
218,6.0,fit,800.0
219,6.0,fit,800.0
220,6.0,fit,800.0
221,6.0,fit,800.0
222,6.0,fit,800.0
223,6.0,fit,800.0
224,6.0,fit,800.0
225,6.0,fit,800.0
226,6.0,fit,800.0
227,6.0,fit,800.0
228,6.0,fit,800.0
