trial_index,ch00,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63
0,0.45507,1.3172,1.65344,1.75476,-0.41447,1.1124,1.3832,1.06264,-0.20038,0.10418,-0.96919,-0.98309,2.74364,0.27939,-0.33579,0.12971,1.50228,-0.49861,-0.6783,-1.08303,0.44677,0.60545,-0.0575,1.18421,0.78171,-0.27308,-0.33978,-0.44732,0.74789,0.81293,-0.14157,-0.84146,-0.35168,-0.90586,0.08205,1.19975,1.23205,0.5865,1.12905,-0.06309,-0.33335,-0.67184,-0.8917,1.00032,1.82729,-0.25965,0.47181,-1.13047,3.59292,1.37897,1.33515,-0.19225,-0.25773,-0.20279,1.74004,1.05221,0.7641,0.59738,-0.83414,0.50113,0.84941,0.03859,1.70668,1.65657
1,0.11798,-0.33469,0.13003,0.49661,-1.01342,1.25801,3.12822,1.38016,0.31023,0.3315,-1.81832,-1.80057,1.76915,0.06316,0.12134,-0.20476,1.41687,-0.90261,-0.45277,-2.60453,-0.57054,0.92938,0.3954,-0.39258,1.50071,0.52584,0.0268,-0.54143,0.25948,0.04467,0.10817,0.02395,-0.41799,-0.77446,1.2717,1.51474,1.23273,1.35318,0.48151,1.19378,-1.1912,0.50097,-0.42964,1.60181,0.64503,-0.46631,-0.38778,-0.59947,1.8746,2.1373,-0.26615,1.04346,-0.05217,1.04615,3.4844,0.0167,0.46209,0.49812,-0.90434,0.41937,0.98169,1.65918,0.59939,2.64574
2,0.80159,-2.24425,0.15483,0.67384,-0.14374,-0.29819,1.3354,0.42941,0.1793,0.00211,-0.97934,-1.13005,1.77188,-1.07821,0.67191,-0.44278,-1.10348,-0.64196,-0.97783,-1.26205,-1.05545,0.09146,-0.96693,0.00366,1.35389,-0.51835,-0.92973,0.21825,1.89262,0.36944,-0.22108,0.23927,1.31033,-0.46595,1.45786,-1.26322,-0.68642,0.53843,0.27231,0.38642,-0.84643,1.91529,-2.15074,-0.35504,-0.68962,-0.20091,0.15151,-0.5632,2.20121,2.10929,0.53926,0.68169,-0.78746,2.00725,2.93597,-0.2664,0.20984,0.43887,-0.61213,0.52758,1.06317,1.1882,1.74824,2.96441
3,-0.22345,-1.74554,0.91226,1.00546,0.16203,-0.32218,1.38937,0.53704,-0.33359,-1.01852,-0.06436,-0.56252,2.3049,0.00578,0.90857,-0.66309,-1.39318,-0.48128,0.09753,0.21754,-1.60427,1.83536,-1.56675,0.27905,1.23422,0.05146,-0.26023,0.57738,1.81341,-0.83736,-0.02384,0.08881,0.9638,-0.26703,0.93665,-0.51533,0.33047,0.26488,0.93444,0.0915,-1.08199,1.69693,-0.83297,-0.32837,-0.86193,1.12071,0.23108,-0.05971,2.02938,1.49585,0.54553,1.54324,-0.04629,0.86325,1.43824,0.38987,0.06086,-1.43787,0.75397,1.55732,2.01805,-0.07352,0.95363,1.92495
4,0.40598,0.66769,1.13752,0.54936,1.61762,-1.30788,0.67558,0.68406,-1.20766,0.64722,-0.2248,-0.19458,2.62797,0.55048,-0.21665,-0.42023,0.59613,-0.03162,0.73934,0.07849,-0.82495,1.51424,0.12364,-0.24353,1.288,0.25212,-0.429,-0.85158,2.39061,0.5875,-1.22262,0.14477,1.03121,-1.15186,-1.25289,0.47256,-0.16183,0.03061,2.35698,-0.9197,0.21557,1.35165,-0.56648,1.25499,-0.62579,0.76722,-1.62578,-0.9108,0.46726,0.59022,0.9182,1.9668,0.36547,0.32303,0.53974,0.31497,-0.67206,-0.04045,0.28459,2.17465,1.79821,-1.60721,0.20133,2.09653
5,-0.32188,-0.52116,1.32135,-1.14157,0.65731,0.07612,2.08723,0.60829,-0.20555,0.72089,0.62656,-0.01347,2.51014,0.44104,-0.81756,-0.45381,2.06858,0.74132,0.38892,0.99701,-0.58285,1.52204,0.46069,-0.61999,0.49439,0.00939,-0.35567,-0.64301,1.86663,0.43699,-1.0034,-0.75304,1.27038,-1.47858,-1.55898,0.12967,-0.74946,0.03339,2.49903,0.50293,-1.475,1.2487,-0.35257,-1.02764,0.20307,0.34807,-2.00084,-0.94975,0.82804,0.24576,0.49574,0.73023,0.48019,0.52675,0.76254,0.4969,0.68658,-0.92569,0.28717,0.86878,0.36059,-0.16754,-0.48605,1.86884
6,0.14935,-0.40389,1.17864,-1.09024,-0.14151,1.48638,1.05829,-0.08652,-0.44711,-1.02022,0.56817,-0.11984,3.0053,0.04984,0.77873,-0.72102,0.3924,0.30747,-0.19271,-0.16152,0.78924,1.50169,-0.40192,0.18282,0.53502,1.2325,1.1477,-0.93052,2.92812,-1.0193,-0.74305,-0.57212,2.12629,-0.85737,-2.34406,-0.61041,0.04291,-1.98183,1.23769,0.01647,-1.66491,1.30753,-1.07059,1.26454,-1.28591,-1.3516,-1.85656,-0.6277,1.38848,-0.3605,0.6926,-0.2131,-0.26576,0.48922,0.1366,-0.14242,-0.37959,-1.25009,-0.27699,0.01211,1.93272,1.18513,-0.37387,1.63142
7,-1.79282,0.0579,0.91558,-1.39468,-0.72007,2.78877,0.04468,-0.88001,-1.27621,-0.46993,0.15092,0.32276,2.52707,-0.14501,0.14762,-0.46149,0.06019,-0.0834,0.97206,0.88478,1.32926,1.624,0.19878,-0.43024,0.65636,0.79553,0.38667,-0.5377,-0.04832,-0.05568,-0.68648,-0.80013,2.25513,-0.29587,-2.40694,0.57565,0.10769,-0.48567,0.39969,2.21559,-1.57741,-0.7804,-0.0798,0.82176,-1.77683,-0.08704,-2.10566,-1.32753,2.60526,-0.10104,1.77137,-1.66384,-1.00404,1.16909,0.7796,0.17529,-0.13713,1.01229,-0.98375,-0.57731,0.67846,-0.4311,0.06452,1.8884
8,-0.53184,1.6748,-0.67706,-0.61377,-1.7998,2.4225,-0.13432,0.18205,-0.15457,0.18906,-1.40307,0.33744,2.30223,-0.70385,0.68532,0.39831,-0.39407,-0.29429,1.05534,2.08462,-0.06884,2.90674,-0.13551,0.07852,-0.41082,0.15902,0.26291,0.86666,1.12972,1.08743,-0.65873,-0.11912,2.49083,-1.08828,-1.75634,0.90255,1.27777,-0.90532,0.30803,2.53788,-0.08329,0.38204,0.27151,1.26396,-1.52002,0.13336,-0.34199,-0.43772,1.22,-1.37947,-0.56562,-2.22602,-0.66362,1.7367,0.32618,0.59574,0.01965,0.58266,-2.33139,0.55988,0.01229,-1.49195,-0.00602,3.17435
9,-0.55589,-0.85354,-0.98106,-0.80186,-2.18045,1.50769,-1.68842,0.46335,0.00366,-0.28399,-0.23677,-0.65406,1.07233,0.58495,1.55758,1.88689,-0.33062,2.02024,1.39989,0.00801,-0.15535,2.98656,-0.11626,-0.765,0.23207,0.38025,1.45008,-0.10009,0.4338,0.63318,-0.70549,0.21099,3.16288,-0.47013,0.06637,1.1786,-0.66326,0.07356,-0.41861,0.60703,-0.16059,0.73591,-0.15617,-0.15169,-1.44677,-1.18664,-1.00469,0.89582,0.90156,-0.74499,0.47927,-2.22412,-0.98958,1.48556,-0.31588,-0.53343,-0.92833,0.4011,-1.09266,0.33181,0.48678,-2.01227,-0.27563,2.92027
