trial_index,block_index,condition,trial_role
0,0,1,discovery
1,0,1,discovery
2,0,1,discovery
3,0,1,discovery
4,0,1,discovery
5,1,1,replication
6,1,1,replication
7,1,1,replication
8,1,1,replication
9,1,1,replication
10,2,0,discovery
11,2,0,discovery
12,2,0,discovery
13,2,0,discovery
14,2,0,discovery
15,3,0,replication
16,3,0,replication
17,3,0,replication
18,3,0,replication
19,3,0,replication
20,4,0,discovery
21,4,0,discovery
22,4,0,discovery
23,4,0,discovery
24,4,0,discovery
25,5,0,replication
26,5,0,replication
27,5,0,replication
28,5,0,replication
29,5,0,replication
30,6,0,discovery
31,6,0,discovery
32,6,0,discovery
33,6,0,discovery
34,6,0,discovery
35,7,0,replication
36,7,0,replication
37,7,0,replication
38,7,0,replication
39,7,0,replication
40,8,1,discovery
41,8,1,discovery
42,8,1,discovery
43,8,1,discovery
44,8,1,discovery
45,9,1,replication
46,9,1,replication
47,9,1,replication
48,9,1,replication
49,9,1,replication
50,10,1,discovery
51,10,1,discovery
52,10,1,discovery
53,10,1,discovery
54,10,1,discovery
55,11,1,replication
56,11,1,replication
57,11,1,replication
58,11,1,replication
59,11,1,replication
60,12,0,discovery
61,12,0,discovery
62,12,0,discovery
63,12,0,discovery
64,12,0,discovery
65,13,1,replication
66,13,1,replication
67,13,1,replication
68,13,1,replication
69,13,1,replication
70,14,0,discovery
71,14,0,discovery
72,14,0,discovery
73,14,0,discovery
74,14,0,discovery
75,15,0,replication
76,15,0,replication
77,15,0,replication
78,15,0,replication
79,15,0,replication
80,16,0,discovery
81,16,0,discovery
82,16,0,discovery
83,16,0,discovery
84,16,0,discovery
85,17,1,replication
86,17,1,replication
87,17,1,replication
88,17,1,replication
89,17,1,replication
90,18,1,discovery
91,18,1,discovery
92,18,1,discovery
93,18,1,discovery
94,18,1,discovery
95,19,0,replication
96,19,0,replication
97,19,0,replication
98,19,0,replication
99,19,0,replication
100,20,1,discovery
101,20,1,discovery
102,20,1,discovery
103,20,1,discovery
104,20,1,discovery
105,21,1,replication
106,21,1,replication
107,21,1,replication
108,21,1,replication
109,21,1,replication
110,22,0,discovery
111,22,0,discovery
112,22,0,discovery
113,22,0,discovery
114,22,0,discovery
115,23,0,replication
116,23,0,replication
117,23,0,replication
118,23,0,replication
119,23,0,replication
120,24,0,discovery
121,24,0,discovery
122,24,0,discovery
123,24,0,discovery
124,24,0,discovery
125,25,1,replication
126,25,1,replication
127,25,1,replication
128,25,1,replication
129,25,1,replication
130,26,0,discovery
131,26,0,discovery
132,26,0,discovery
133,26,0,discovery
134,26,0,discovery
135,27,0,replication
136,27,0,replication
137,27,0,replication
138,27,0,replication
139,27,0,replication
140,28,0,discovery
141,28,0,discovery
142,28,0,discovery
143,28,0,discovery
144,28,0,discovery
145,29,1,replication
146,29,1,replication
147,29,1,replication
148,29,1,replication
149,29,1,replication
150,30,1,discovery
151,30,1,discovery
152,30,1,discovery
153,30,1,discovery
154,30,1,discovery
155,31,1,replication
156,31,1,replication
157,31,1,replication
158,31,1,replication
159,31,1,replication
160,32,1,discovery
161,32,1,discovery
162,32,1,discovery
163,32,1,discovery
164,32,1,discovery
165,33,1,replication
166,33,1,replication
167,33,1,replication
168,33,1,replication
169,33,1,replication
170,34,0,discovery
171,34,0,discovery
172,34,0,discovery
173,34,0,discovery
174,34,0,discovery
175,35,1,replication
176,35,1,replication
177,35,1,replication
178,35,1,replication
179,35,1,replication
180,36,1,discovery
181,36,1,discovery
182,36,1,discovery
183,36,1,discovery
184,36,1,discovery
185,37,1,replication
186,37,1,replication
187,37,1,replication
188,37,1,replication
189,37,1,replication
190,38,0,discovery
191,38,0,discovery
192,38,0,discovery
193,38,0,discovery
194,38,0,discovery
195,39,0,replication
196,39,0,replication
197,39,0,replication
198,39,0,replication
199,39,0,replication
